pubkey,userWallet,mint,status,initialTimestamp,sponsorshipSource,memo,rentPaid,reclaimedAt,reclaimSignature
"BK2fapwncUa5n7H3xP8nPLRRtEPEgzPDYLcACXAfM6wi","B4UzrWCYUaqEgRkd1d9CKTTiAbhbTkwnk6RHrBg8b8wj","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","active",1970-01-21T11:27:47.169Z,"SOLANA_PROGRAM_LIBRARY",,0.002039280,,
"DLZ35XjaDH7GTXZcZeYwtqAYyPt9t2qwELPXVV7rSzcd","BiuhhkJEZM3mtg64xpePbhH11ZTFNsbLnWL1vTMo2SJq","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","active",1970-01-21T11:27:47.168Z,"SOLANA_PROGRAM_LIBRARY",,0.002039280,,
"C3Yj2RfvX6QtReqQfQmbb1Nv3YsHVosyroMNiNBw62rC","CSNCJBaNvVPuAuqNkYtWcYhHnsmee3E4e2SZic78s2up","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","active",1970-01-21T11:27:47.167Z,"SOLANA_PROGRAM_LIBRARY",,0.002039280,,
"7u3rMVi3X2vQkJzaH7JdCTEStYcsMVcNagdNe2i8sNNT","9epeytuygpcdAcsPbDihzTuNKkh1R1yMsrRoEhoM6nwK","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","active",1970-01-21T11:27:47.166Z,"SOLANA_PROGRAM_LIBRARY",,0.002039280,,
"HTbHvxpkJTdZbwjWE1D74KsZijLgJA9mJG9vkKJUmPAq","8fJi45wKuU9mrDbxg85maRpJ1oitqk91Xb9jQG5DAZPT","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","active",1970-01-21T11:27:47.165Z,"SOLANA_PROGRAM_LIBRARY",,0.002039280,,
"BPaBnNAg7mXg6KA9YyT1egouEtRemMhUAs58HpEoo3Ni","G8Qhxxd8K6faTCDDj48QnU9H2VnTVCf8VBBjSqL8WxY4","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","active",1970-01-21T11:27:46.592Z,"SOLANA_PROGRAM_LIBRARY",,0.002039280,,
"9L9rFF1MKuwqirvijTfboNNhb1Evz7wxjYq93xD6gEmA","578cEZtguwoTNzY4haRYHztfd8f4d2qWZgEf8sKRvda2","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","active",1970-01-21T11:27:46.590Z,"SOLANA_PROGRAM_LIBRARY",,0.002039280,,
"DdNkcHcT3ZSaGu56C9fW1JPKtCTg6sTCa2z5FVNNwPZH","4GgM8NWrXD1xNCnQ3XTpFMRK7DBmcy24wVasVeXuygZN","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","active",1970-01-21T11:27:46.340Z,"SOLANA_PROGRAM_LIBRARY",,0.002039280,,
"6AWk5F99eqwB4MoXwwRpfayzvXkQ1hoaVZmTfDuP1Yc4","5nN1utW51Swv9mBRMnWPwSS7iL93TY1meXTkgNDTvg5v","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","active",1970-01-21T11:27:46.339Z,"SOLANA_PROGRAM_LIBRARY",,0.002039280,,
"57sKjH8HnHfd9ocdBE7tMPdYofhp3HwBXg2gmD17g3dt","7FM9bF4STSc7uHNcmsgp4E9FDa1r9MEkmThLcPKYV36s","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","active",1970-01-21T11:27:46.200Z,"UNKNOWN",,0.002039280,,
"GVvjX4Yr9CitMQc3KHFhZ4jsmjFb6JT7f7uiNZCUZomX","9xAFPn6aQ6Dir5NznXH7DAQVm9USfmNJkJCJ93wZeAZ","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","active",1970-01-21T11:27:46.199Z,"UNKNOWN",,0.002039280,,
"A8FtAhtFMjor92pUbmQrQGseiUH3m8MbqkYJuxw5arN9","CtnFhZqycp3HadJFy426bsoYkfFhNvp2Ha3CwDRuKkb2","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","active",1970-01-21T11:27:46.196Z,"UNKNOWN",,0.002039280,,